seq	kingdom	phylum	class	order	family	genus	species
seq_14081	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron majus
seq_14082	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	NA
seq_14083	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Verbena	Verbena halei
seq_14086	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Seifertia	Seifertia azaleae
seq_14087	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	NA
seq_14089	NA	NA	NA	NA	NA	NA	NA
seq_14090	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria danica
seq_14092	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	NA
seq_14094	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
seq_14096	NA	NA	NA	NA	NA	NA	NA
seq_14097	NA	NA	NA	NA	NA	NA	NA
seq_14098	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
seq_14099	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	NA
seq_14101	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
seq_14102	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella intermedia
seq_14103	NA	NA	NA	NA	NA	NA	NA
seq_14104	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
seq_14105	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnum	NA
seq_14106	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
seq_14109	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella macropus
seq_14111	NA	NA	NA	NA	NA	NA	NA
seq_14112	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
seq_14113	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
seq_14114	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Barbula	NA
seq_14115	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Myxarium	NA
seq_14116	NA	NA	NA	NA	NA	NA	NA
seq_14117	Fungi	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	Tilletia ehrhartae
seq_14120	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Peterozyma	NA
seq_14121	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Ogataea	Ogataea neopini
seq_14122	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Stictis	Stictis friabilis
seq_14123	NA	NA	NA	NA	NA	NA	NA
seq_14126	NA	NA	NA	NA	NA	NA	NA
seq_14127	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa spinosa
seq_14128	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnum	NA
seq_14129	NA	NA	NA	NA	NA	NA	NA
seq_14130	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Hyalorbilia	NA
seq_14131	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Lipandra	NA
seq_14133	NA	NA	NA	NA	NA	NA	NA
seq_14134	NA	NA	NA	NA	NA	NA	NA
seq_14135	NA	NA	NA	NA	NA	NA	NA
seq_14139	NA	NA	NA	NA	NA	NA	NA
seq_14140	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Muriformistrickeria	Muriformistrickeria rosae
seq_14141	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia	Rutstroemia fruticeti
seq_14142	NA	NA	NA	NA	NA	NA	NA
seq_14143	NA	NA	NA	NA	NA	NA	NA
seq_14144	Fungi	Ascomycota	NA	NA	NA	NA	NA
seq_14146	NA	NA	NA	NA	NA	NA	NA
seq_14148	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	NA
seq_14149	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
seq_14150	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	NA
seq_14152	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	Erysiphe syringae
seq_14154	Fungi	Ascomycota	Eurotiomycetes	Ascosphaerales	Ascosphaeraceae	Ascosphaera	Ascosphaera atra
seq_14155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	NA
seq_14156	NA	NA	NA	NA	NA	NA	NA
seq_14157	NA	NA	NA	NA	NA	NA	NA
seq_14158	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	NA	NA
seq_14159	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
seq_14160	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cryptomarasmius	Cryptomarasmius minutus
seq_14163	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA
seq_14165	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Bracteacoccaceae	Bracteacoccus	NA
seq_14166	NA	NA	NA	NA	NA	NA	NA
seq_14167	NA	NA	NA	NA	NA	NA	NA
seq_14168	NA	NA	NA	NA	NA	NA	NA
seq_14169	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	NA
seq_14170	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Heydenia	NA
seq_14171	Plantae	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidaceae	Planophila	NA
seq_14173	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	Lophium	NA
seq_14174	NA	NA	NA	NA	NA	NA	NA
seq_14175	Fungi	Basidiomycota	Microbotryomycetes	NA	Chrysozymaceae	Fellozyma	NA
seq_14178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Leptobacillium	NA
seq_14179	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_14181	Fungi	Ascomycota	NA	NA	NA	NA	NA
seq_14182	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula fuscosanguinea
seq_14187	NA	NA	NA	NA	NA	NA	NA
seq_14192	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Weissia	NA
seq_14196	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
seq_14197	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia	NA
